dept,course,term,section,rec_course,rec_inst,eval_rate,enroll,evals,expected_grade,received_grade,study_wk,difficulty,amount_learned,attendance,start,duration
BIBC,103,WI22,A,0.92,0.97,0.43333333333333335,90,39,3.24,2.92,5.92,3.92,4.42,2.87,9.0,0.8333333333333334
BIBC,100,FA21,A,0.97,0.97,0.5171232876712328,292,151,3.44,3.58,7.41,3.82,4.4,2.53,12.5,1.3333333333333333
BIBC,103,FA21,C,1.0,0.96,0.5681818181818182,44,25,3.44,3.39,9.14,4.52,4.72,2.96,11.0,1.3333333333333333
BIBC,194,SP21,A,1.0,1.0,0.5714285714285714,28,16,4.0,4.0,2.5,3.13,4.69,3.0,9.5,1.3333333333333333
BIBC,102,SP19,A,0.83,0.89,0.44651162790697674,215,96,2.97,2.83,6.01,4.47,4.19,2.9,15.0,0.8333333333333334
BIBC,102,WI18,B,0.79,0.83,0.6808510638297872,282,192,3.17,2.76,8.32,4.48,4.05,2.87,16.0,0.8333333333333334
BIBC,102,WI17,B,0.92,0.96,0.8108108108108109,259,210,3.23,2.72,7.48,4.09,4.49,2.93,14.0,1.3333333333333333
BIBC,194,WI17,A,0.94,1.0,0.6296296296296297,27,17,3.93,4.0,2.75,3.75,4.27,3.0,9.5,1.3333333333333333
BIBC,194,FA16,A,0.82,0.82,0.2682926829268293,41,11,3.7,3.9,1.5,,,,9.5,1.5
BIBC,100,WI15,A,0.73,0.55,0.4152744630071599,419,174,3.12,2.61,6.44,4.21,3.68,2.61,8.0,1.3333333333333333
BICD,100,SP22,A,0.94,0.95,0.7659574468085106,188,144,3.52,3.24,5.56,3.32,4.37,2.63,10.0,0.8333333333333334
BICD,100,SP21,A,0.97,0.97,0.8137931034482758,145,118,3.68,3.52,6.13,3.57,4.34,2.63,15.0,0.8333333333333334
BICD,100,WI21,C,1.0,0.92,0.7222222222222222,18,13,3.17,3.12,6.04,3.77,3.92,2.54,9.0,0.8333333333333334
BICD,100,FA20,C,1.0,1.0,0.5227272727272727,44,23,3.41,3.01,5.23,3.5,4.55,2.77,13.0,0.8333333333333334
BICD,100,FA20,G,0.81,0.64,0.8571428571428571,49,42,3.23,2.8,7.07,4.07,3.6,2.6,10.0,0.8333333333333334
BICD,100,FA20,K,1.0,0.86,0.9090909090909091,33,30,3.4,3.4,6.98,3.62,4.1,2.67,15.0,0.8333333333333334
BICD,100,SP20,A,0.97,0.97,0.8227848101265823,316,260,3.68,3.86,5.1,3.52,4.38,2.73,14.0,1.3333333333333333
BICD,100,WI20,C,0.95,0.83,0.481651376146789,218,105,3.29,3.09,4.21,3.59,4.19,2.83,15.0,0.8333333333333334
BICD,110,WI19,A,0.81,0.88,0.574468085106383,47,27,3.12,2.76,7.54,4.33,4.41,2.78,11.0,1.3333333333333333
BICD,145,WI19,A,1.0,1.0,1.0,38,38,3.81,3.88,6.66,3.3,4.58,2.97,12.0,0.8333333333333334
BICD,112,SP18,A,0.88,0.96,0.7538461538461538,65,49,3.24,3.42,6.74,4.27,4.27,2.96,9.5,1.3333333333333333
BICD,100,WI18,D,0.97,0.94,0.5758426966292135,356,205,3.77,3.17,4.37,2.96,4.23,2.92,14.0,1.3333333333333333
BICD,110,WI17,A,0.86,0.71,0.9094488188976378,254,231,3.49,2.98,6.03,3.48,4.03,2.61,8.0,0.8333333333333334
BICD,110,SP15,A,0.89,0.91,0.35435435435435436,333,118,3.36,3.06,6.74,3.94,4.31,2.82,11.0,1.3333333333333333
BIEB,143,SP22,A,1.0,1.0,0.3181818181818182,22,7,3.0,2.9,7.17,4.0,4.67,3.0,9.0,0.8333333333333334
BIEB,134,WI22,A,1.0,0.96,0.421875,64,27,3.65,3.18,6.35,3.23,4.5,2.81,9.5,1.3333333333333333
BIEB,102,WI21,A,0.96,0.92,0.8565022421524664,223,191,3.67,3.75,4.48,2.59,4.18,2.83,11.0,1.3333333333333333
BIEB,126,FA20,A,0.92,0.92,0.4108527131782946,129,53,3.27,2.87,4.81,3.14,4.29,2.55,11.0,1.3333333333333333
BIEB,102,WI20,A,0.96,0.93,0.496551724137931,145,72,3.13,2.73,5.62,3.38,4.25,2.72,9.5,1.3333333333333333
BIEB,143,SP19,A,1.0,1.0,0.375,24,9,3.63,3.49,4.5,3.56,4.78,3.0,10.0,0.8333333333333334
BIEB,150,WI19,A,0.9,0.93,0.4484848484848485,165,74,3.31,3.08,3.42,3.3,4.26,2.89,14.0,1.3333333333333333
BIEB,102,FA17,A,0.9,0.87,0.6974789915966386,119,83,3.01,2.53,4.55,3.28,4.01,2.5,8.0,1.3333333333333333
BIEB,123,WI17,A,1.0,1.0,0.8695652173913043,23,20,3.53,3.71,3.66,3.79,4.74,3.0,11.5,1.3333333333333333
BIEB,152,SP16,A,0.86,0.88,0.8369565217391305,184,154,3.33,2.99,4.82,3.53,4.06,2.92,15.5,1.3333333333333333
BIEB,166,WI16,A,0.97,1.0,0.5102040816326531,245,125,3.57,2.82,4.95,3.38,4.66,2.63,15.0,0.8333333333333334
BIEB,100,FA15,A,0.67,0.64,0.5031055900621118,161,81,3.15,2.73,7.06,3.75,3.58,2.56,15.0,0.8333333333333334
BILD,1,SP22,E,0.71,0.47,0.288135593220339,59,17,3.19,2.46,5.79,3.41,3.53,2.53,16.0,0.8333333333333334
BILD,92,SP22,A,1.0,1.0,0.38461538461538464,13,5,,,1.5,2.5,4.25,3.0,11.0,0.8333333333333334
BILD,3,WI22,B,0.83,0.8,0.4774193548387097,155,74,3.1,3.04,3.99,2.99,3.64,2.63,13.0,0.8333333333333334
BILD,5,WI22,B,1.0,1.0,0.4166666666666667,24,10,3.56,3.32,4.7,3.56,4.9,2.6,15.0,0.8333333333333334
BILD,32,FA21,A,0.92,0.96,0.869281045751634,153,133,3.25,2.87,4.65,3.12,4.42,2.54,9.0,0.8333333333333334
BILD,4,FA21,A,0.95,0.99,0.6631299734748011,377,250,3.65,3.71,3.18,,,,17.0,1.3333333333333333
BILD,2,SP21,C,0.98,0.98,0.8,55,44,3.53,3.1,6.64,3.16,4.55,2.98,9.0,0.8333333333333334
BILD,3,SP21,D,1.0,1.0,0.4,20,8,3.6,2.44,4.5,3.0,4.33,2.33,11.0,0.8333333333333334
BILD,83,SP21,A,1.0,1.0,0.625,16,10,4.0,4.0,2.06,2.44,4.56,3.0,10.0,0.8333333333333334
BILD,1,WI21,C,0.81,0.79,0.8795180722891566,166,146,3.11,3.11,6.13,3.81,4.0,2.88,16.0,0.8333333333333334
BILD,2,WI21,A,0.93,0.85,0.7352941176470589,170,125,3.18,3.14,5.39,3.71,4.32,2.23,9.5,1.3333333333333333
BILD,1,FA20,F,0.95,1.0,0.82,50,41,3.77,3.53,3.52,2.76,3.98,2.49,16.0,0.8333333333333334
BILD,1,FA20,I,0.91,0.98,0.9148936170212766,47,43,3.24,2.97,4.97,3.22,3.95,2.77,12.0,0.8333333333333334
BILD,2,FA20,E,0.96,0.96,0.6410256410256411,39,25,3.4,2.99,6.5,3.08,4.6,2.68,9.0,0.8333333333333334
BILD,4,FA20,B,0.99,0.99,0.7807486631016043,187,146,3.83,3.83,2.87,,,,17.0,1.3333333333333333
BILD,2,SP20,B,0.97,0.94,0.7413127413127413,259,192,3.65,3.43,6.48,3.17,4.41,2.8,16.0,0.8333333333333334
BILD,4,SP20,B,0.94,0.98,0.7213114754098361,183,132,3.74,3.73,3.7,2.52,3.86,2.4,17.0,1.3333333333333333
BILD,10,WI20,A,0.77,0.81,0.636734693877551,245,156,3.2,3.19,4.71,3.24,3.73,2.85,12.5,1.3333333333333333
BILD,3,FA19,A,0.89,0.98,0.7105263157894737,190,135,3.13,2.64,5.73,3.44,4.23,2.9,10.0,0.8333333333333334
BILD,87,SP17,A,1.0,1.0,0.4444444444444444,9,4,4.0,,7.17,1.0,4.33,3.0,13.0,0.8333333333333334
BILD,87,WI17,A,0.83,1.0,0.5,14,7,4.0,,0.5,2.6,3.67,2.17,13.0,0.8333333333333334
BILD,3,FA16,C,0.92,0.95,0.8595641646489104,413,355,3.39,3.07,4.96,3.45,4.08,2.93,11.0,1.3333333333333333
BILD,1,SP22,A,0.86,0.85,0.851063829787234,188,160,3.23,3.15,5.15,3.33,4.07,2.96,14.0,0.8333333333333334
BILD,1,SP22,B,0.96,0.99,0.7365591397849462,186,137,3.62,3.38,5.67,3.03,4.21,2.65,13.0,0.8333333333333334
BILD,1,SP22,C,0.92,0.88,0.7415730337078652,89,66,3.02,2.74,4.83,3.39,4.06,2.41,14.0,0.8333333333333334
BILD,1,SP22,D,0.95,0.92,0.7009345794392523,107,75,3.38,2.94,5.77,3.17,4.15,2.57,15.0,0.8333333333333334
BILD,2,SP22,A,0.99,0.99,0.798941798941799,189,151,3.62,3.09,5.94,3.25,4.57,2.89,11.0,0.8333333333333334
BILD,2,SP22,B,0.98,0.97,0.6730769230769231,156,105,3.55,3.04,5.55,3.35,4.42,2.45,8.0,0.8333333333333334
BILD,2,SP22,C,0.94,0.99,0.738562091503268,153,113,3.61,3.23,5.43,3.16,4.45,2.56,9.0,0.8333333333333334
BILD,2,SP22,D,0.97,0.98,0.7515923566878981,157,118,3.58,3.19,5.39,3.36,4.38,2.43,8.0,1.3333333333333333
BILD,28,SP22,A,0.83,0.96,0.375,72,27,3.3,2.73,4.5,3.57,4.67,2.71,14.0,1.3333333333333333
BILD,3,SP22,A,0.99,1.0,0.7028985507246377,138,97,3.22,2.89,4.4,3.0,4.39,2.65,12.0,0.8333333333333334
BILD,3,SP22,B,0.95,0.98,0.7297297297297297,185,135,3.49,3.21,4.66,2.97,4.32,2.9,13.0,0.8333333333333334
BILD,3,SP22,C,0.99,1.0,0.44680851063829785,188,84,3.6,3.64,3.81,2.32,4.27,2.32,9.5,1.3333333333333333
BILD,3,SP22,D,0.9,0.97,0.38323353293413176,167,64,3.46,3.17,4.34,2.89,3.95,2.6,14.0,0.8333333333333334
BILD,3,SP22,E,0.77,0.77,0.5180722891566265,83,43,3.0,2.38,5.36,3.64,3.81,2.57,11.0,1.3333333333333333
BILD,4,SP22,A,0.92,0.97,0.6271186440677966,177,111,3.59,3.61,3.49,,,,17.0,1.3333333333333333
BILD,4,SP22,B,0.97,0.93,0.6417112299465241,187,120,3.86,3.79,2.88,2.38,4.05,2.77,17.0,1.3333333333333333
BILD,5,SP22,A,0.87,0.93,0.5555555555555556,27,15,3.77,3.38,4.36,3.62,4.21,2.29,14.0,0.8333333333333334
BILD,60,SP22,A,0.84,1.0,0.4318181818181818,44,19,3.69,3.29,5.24,2.39,4.26,2.21,11.0,1.3333333333333333
BILD,62,SP22,A,0.95,1.0,0.5,46,23,3.89,3.73,4.86,3.43,4.48,2.64,14.0,1.3333333333333333
BILD,87,SP22,A,0.86,1.0,0.4375,16,7,3.33,,0.79,1.57,3.71,2.57,13.0,0.8333333333333334
BILD,87,SP22,B,0.89,0.89,0.5625,16,9,4.0,,0.5,1.44,3.89,2.22,13.0,0.8333333333333334
BILD,87,SP22,C,1.0,1.0,0.6666666666666666,15,10,,,0.5,1.57,4.11,2.89,13.0,0.8333333333333334
BILD,1,WI22,A,0.92,0.89,0.8246753246753247,154,127,3.09,2.87,6.04,3.55,4.14,2.9,14.0,0.8333333333333334
BILD,1,WI22,B,0.99,0.99,0.7842105263157895,190,149,3.77,3.57,5.18,2.78,4.39,2.8,15.0,0.8333333333333334
BILD,1,WI22,C,0.97,1.0,0.8289855072463768,345,286,3.74,3.53,5.37,2.86,4.32,2.81,16.0,0.8333333333333334
BILD,1,WI22,D,0.96,0.97,0.8678414096916299,227,197,3.54,3.58,5.01,3.08,4.18,2.5,14.0,1.3333333333333333
BILD,1,WI22,E,0.9,0.89,0.8076923076923077,156,126,3.31,3.07,4.47,3.06,4.23,2.91,12.0,0.8333333333333334
BILD,2,WI22,A,0.97,0.98,0.8301886792452831,159,132,3.67,3.42,5.19,2.96,4.42,2.72,11.0,1.3333333333333333
BILD,2,WI22,B,0.89,0.89,0.6918238993710691,159,110,3.34,3.43,4.59,3.19,4.04,2.52,17.0,1.3333333333333333
BILD,2,WI22,C,0.97,0.92,0.75,116,87,3.12,2.85,5.44,3.48,4.26,2.92,9.0,0.8333333333333334
BILD,2,WI22,D,0.95,0.89,0.59375,32,19,3.11,2.85,5.66,3.79,4.16,2.89,9.5,1.3333333333333333
BILD,22,WI22,A,0.84,0.9,0.4190231362467866,389,163,3.25,3.5,4.3,3.21,3.96,2.43,17.0,1.3333333333333333
BILD,3,WI22,A,0.88,0.8,0.5102040816326531,147,75,3.17,3.16,4.39,3.23,3.93,2.78,10.0,0.8333333333333334
BILD,3,WI22,C,0.84,0.86,0.7670682730923695,249,191,3.32,3.24,5.41,2.97,3.85,2.74,8.0,1.3333333333333333
BILD,3,WI22,D,0.87,0.87,0.7661290322580645,248,190,3.44,3.35,4.81,3.12,3.87,2.76,9.5,1.3333333333333333
BILD,3,WI22,E,0.8,0.7,0.6496350364963503,137,89,3.15,2.57,5.62,3.53,3.98,2.58,15.0,0.8333333333333334
BILD,30,WI22,A,0.94,0.91,0.6438356164383562,73,47,2.8,2.82,4.76,3.26,4.51,2.55,12.0,0.8333333333333334
BILD,4,WI22,A,0.99,0.99,0.47593582887700536,187,89,3.79,3.71,3.67,,,,17.0,1.3333333333333333
BILD,4,WI22,B,0.98,0.98,0.6795580110497238,181,123,3.79,3.8,2.89,2.74,4.02,2.93,17.0,1.3333333333333333
BILD,4,WI22,C,0.93,0.98,0.827027027027027,185,153,3.86,3.87,3.1,2.44,4.04,2.92,18.5,1.3333333333333333
BILD,4,WI22,D,0.95,0.99,0.8624338624338624,189,163,3.79,3.77,3.57,2.65,3.99,2.84,18.5,1.3333333333333333
BILD,44,WI22,A,0.78,0.87,0.7272727272727273,33,24,3.24,2.98,3.67,3.0,3.71,2.96,17.0,1.3333333333333333
BILD,5,WI22,A,0.93,1.0,0.675,40,27,3.83,3.73,5.54,2.89,4.41,2.56,14.0,0.8333333333333334
BILD,60,WI22,A,0.94,0.94,0.673469387755102,49,33,3.97,3.8,2.69,2.22,4.31,2.75,11.0,1.3333333333333333
BILD,81,WI22,A,1.0,1.0,0.4,10,4,4.0,,2.0,1.33,5.0,3.0,9.0,0.8333333333333334
BILD,87,WI22,A,0.8,0.9,0.5263157894736842,19,10,4.0,,0.5,2.5,4.1,2.8,13.0,0.8333333333333334
BILD,87,WI22,B,1.0,1.0,0.75,16,12,4.0,,0.67,1.73,4.5,2.92,10.0,0.8333333333333334
BILD,87,WI22,B,1.0,1.0,0.75,16,12,4.0,,0.67,1.73,4.5,2.92,10.0,0.8333333333333334
BILD,1,FA21,A,0.64,0.51,0.5177304964539007,141,73,3.14,2.54,4.5,3.46,3.44,2.51,16.0,0.8333333333333334
BILD,1,FA21,B,0.96,0.98,0.6984126984126984,189,132,3.33,3.28,6.15,3.11,4.18,2.6,9.0,0.8333333333333334
BILD,1,FA21,C,0.97,0.98,0.6963350785340314,191,133,3.51,3.37,5.75,3.06,4.28,2.72,11.0,0.8333333333333334
BILD,1,FA21,D,0.9,0.88,0.8597560975609756,164,141,3.16,3.11,5.0,3.43,4.28,2.97,10.0,0.8333333333333334
BILD,1,FA21,E,0.9,0.87,0.906832298136646,161,146,3.14,3.06,5.25,3.5,4.21,2.99,17.0,0.8333333333333334
BILD,1,FA21,F,0.89,0.87,0.9012345679012346,162,146,3.11,2.96,4.86,3.4,4.1,2.98,15.0,0.8333333333333334
BILD,10,FA21,A,0.77,0.89,0.8317757009345794,214,178,3.02,2.81,5.61,3.53,3.9,2.72,17.0,1.3333333333333333
BILD,2,FA21,A,0.99,0.99,0.7913669064748201,139,110,3.69,3.19,5.14,2.87,4.62,2.93,16.0,0.8333333333333334
BILD,2,FA21,B,0.95,0.94,0.6271186440677966,59,37,3.47,3.14,5.26,3.27,4.38,2.86,9.5,1.3333333333333333
BILD,2,FA21,C,0.94,0.96,0.7880794701986755,151,119,3.47,3.07,5.58,3.43,4.39,2.67,13.0,0.8333333333333334
BILD,2,FA21,D,0.97,0.97,0.746031746031746,126,94,3.59,3.12,5.23,3.3,4.39,2.61,15.0,0.8333333333333334
BILD,20,FA21,A,0.98,0.94,0.7479674796747967,123,92,3.58,3.64,3.41,2.6,4.01,2.73,15.5,1.3333333333333333
BILD,3,FA21,A,0.96,0.97,0.7027027027027027,185,130,3.33,3.2,5.02,3.02,4.29,2.85,11.0,1.3333333333333333
BILD,3,FA21,B,0.98,0.99,0.7754010695187166,187,145,3.3,3.25,5.15,2.97,4.26,2.9,14.0,1.3333333333333333
BILD,3,FA21,C,0.91,0.86,0.6903225806451613,155,107,3.21,2.37,6.54,3.48,4.19,2.62,10.0,0.8333333333333334
BILD,3,FA21,D,0.88,0.9,0.7950310559006211,161,128,3.47,3.55,4.64,2.81,3.85,2.83,11.0,1.3333333333333333
BILD,3,FA21,E,0.88,0.9,0.8050314465408805,159,128,3.5,3.5,5.18,2.84,3.88,2.83,12.5,1.3333333333333333
BILD,3,FA21,F,0.89,0.91,0.8282208588957055,163,135,3.45,3.51,4.91,2.86,3.91,2.81,15.5,1.3333333333333333
BILD,4,FA21,B,0.95,0.99,0.7671957671957672,378,290,3.72,3.75,3.17,2.6,4.09,2.91,17.0,1.3333333333333333
BILD,60,FA21,A,0.89,1.0,0.3958333333333333,48,19,3.89,3.77,4.5,2.56,4.5,2.78,14.0,1.3333333333333333
BILD,70,FA21,A,1.0,1.0,0.6666666666666666,30,20,4.0,4.0,2.61,2.65,4.74,3.0,13.0,3.8333333333333335
BILD,80,FA21,A,0.71,1.0,0.6923076923076923,13,9,3.5,2.7,3.07,2.43,4.43,2.86,9.0,0.8333333333333334
BILD,83,FA21,A,1.0,1.0,0.2727272727272727,11,3,4.0,2.95,1.83,1.33,4.0,2.0,10.0,0.8333333333333334
BILD,87,FA21,A,1.0,1.0,0.6111111111111112,18,11,4.0,,0.68,1.18,3.73,2.55,13.0,0.8333333333333334
BILD,87,FA21,B,0.9,0.9,0.6111111111111112,18,11,4.0,,0.86,1.3,3.82,3.0,13.0,0.8333333333333334
BILD,92,FA21,A,1.0,1.0,0.7777777777777778,9,7,3.8,0.0,2.21,1.86,4.71,2.57,13.0,0.8333333333333334
BILD,1,SP21,A,0.95,0.96,0.7687861271676301,173,133,3.2,3.45,6.18,3.55,4.16,2.76,15.5,1.3333333333333333
BILD,1,SP21,B,1.0,1.0,0.6782608695652174,115,78,3.46,3.51,5.12,3.16,4.53,2.57,9.0,0.8333333333333334
BILD,1,SP21,C,0.82,0.82,0.6415094339622641,106,68,3.33,2.83,6.2,3.49,4.1,2.61,10.0,0.8333333333333334
BILD,1,SP21,D,0.9,0.88,0.6732673267326733,101,68,3.44,2.98,5.69,3.39,4.03,2.72,11.0,0.8333333333333334
BILD,1,SP21,E,0.95,0.92,0.8421052631578947,76,64,3.0,3.26,5.38,3.33,4.03,2.73,16.0,0.8333333333333334
BILD,2,SP21,A,0.97,0.97,0.7868852459016393,183,144,3.41,3.19,5.47,3.64,4.22,2.58,12.0,0.8333333333333334
BILD,2,SP21,B,0.96,0.96,0.8324607329842932,191,159,3.65,3.44,4.93,2.99,4.39,2.46,15.0,0.8333333333333334
BILD,2,SP21,D,0.98,0.98,0.8363636363636363,55,46,3.72,3.16,5.2,3.2,4.7,2.93,9.0,0.8333333333333334
BILD,20,SP21,A,0.82,0.9,0.7142857142857143,112,80,2.98,3.29,4.96,3.81,3.92,2.52,11.0,1.3333333333333333
BILD,3,SP21,A,0.86,0.8,0.6111111111111112,72,44,3.37,2.81,6.09,3.23,4.23,2.45,14.0,0.8333333333333334
BILD,3,SP21,B,0.95,0.95,0.7277486910994765,191,139,3.53,3.49,5.02,2.93,4.13,2.74,12.0,0.8333333333333334
BILD,3,SP21,C,0.97,0.97,0.45794392523364486,214,98,3.64,3.73,4.44,2.79,4.35,2.45,8.0,1.3333333333333333
BILD,3,SP21,E,0.95,0.96,0.7142857142857143,140,100,3.64,3.46,4.5,2.59,4.18,2.67,10.0,0.8333333333333334
BILD,4,SP21,A,0.96,0.99,0.5645161290322581,186,105,3.91,3.67,3.13,,,,17.0,1.3333333333333333
BILD,4,SP21,B,0.91,1.0,0.7043010752688172,186,131,3.83,3.75,3.42,2.53,3.95,2.86,11.5,1.3333333333333333
BILD,42,SP21,A,0.88,0.88,0.36764705882352944,68,25,3.29,3.54,4.76,3.48,4.45,2.48,15.5,1.3333333333333333
BILD,44,SP21,A,0.79,0.93,0.7777777777777778,18,14,3.83,3.69,3.36,3.07,3.93,2.5,14.0,1.3333333333333333
BILD,60,SP21,A,0.67,0.8,0.6153846153846154,26,16,3.67,3.69,6.88,2.93,3.75,2.25,9.5,1.3333333333333333
BILD,7,SP21,A,0.89,0.97,0.2571428571428571,140,36,3.69,3.14,4.39,2.94,4.14,2.25,9.5,1.3333333333333333
BILD,7,SP21,A,0.89,1.0,0.2571428571428571,140,36,3.69,3.14,4.39,2.94,4.14,2.25,9.5,1.3333333333333333
BILD,87,SP21,A,0.91,1.0,0.8461538461538461,13,11,3.0,,1.23,2.27,3.82,2.91,10.0,0.8333333333333334
BILD,92,SP21,A,1.0,1.0,0.4,10,4,,0.0,1.83,1.33,4.33,2.67,11.0,0.8333333333333334
BILD,1,WI21,A,0.87,0.82,0.9371428571428572,175,164,3.1,3.26,5.65,3.67,4.09,2.89,13.0,0.8333333333333334
BILD,1,WI21,B,0.82,0.76,0.8742857142857143,175,153,3.02,3.16,5.55,3.63,3.95,2.9,14.0,0.8333333333333334
BILD,1,WI21,D,0.99,0.99,0.8611111111111112,180,155,3.75,3.67,5.39,2.92,4.48,2.89,10.0,0.8333333333333334
BILD,1,WI21,E,0.96,0.97,0.8563829787234043,188,161,3.59,3.5,5.79,3.06,4.44,2.76,11.0,0.8333333333333334
BILD,12,WI21,A,0.94,0.97,0.4044943820224719,89,36,3.43,3.25,3.61,3.26,4.14,2.53,15.5,1.3333333333333333
BILD,2,WI21,B,0.96,0.95,0.8366336633663366,202,169,3.43,3.56,5.21,3.32,4.26,2.46,15.5,1.3333333333333333
BILD,2,WI21,G,1.0,0.95,0.75,52,39,3.68,3.39,4.81,2.41,4.46,2.54,15.0,0.8333333333333334
BILD,2,WI21,H,1.0,1.0,0.7450980392156863,51,38,3.75,3.4,5.82,2.95,4.57,2.63,15.0,0.8333333333333334
BILD,2,WI21,I,0.98,0.98,0.8490566037735849,53,45,3.78,3.52,5.48,2.78,4.33,2.53,15.0,0.8333333333333334
BILD,22,WI21,A,0.87,0.9,0.42318059299191374,371,157,3.49,3.55,4.49,3.3,4.12,2.46,17.0,1.3333333333333333
BILD,3,WI21,A,1.0,0.97,0.6306818181818182,176,111,3.63,3.63,4.56,2.75,4.29,2.74,10.0,0.8333333333333334
